2023-06-22 14:59:10 error: [DELETE] /api/users/employmentHistory/24 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:59:10 error: [DELETE] /api/users/employmentHistory/updateCliesnt/24 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:59:39 error: [POST] /api/users/employmentHistory/createClien >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:59:39 error: [DELETE] /api/users/employmentHistory/25 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 14:59:39 error: [DELETE] /api/users/employmentHistory/updateCliesnt/25 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 15:00:21 error: [POST] /api/users/employmentHistory/createClien >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 15:00:22 error: [DELETE] /api/users/employmentHistory/updateCliesnt/26 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 15:32:34 error: [GET] /api/users/modules/getAsllmodules >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 15:34:53 error: [GET] /api/users/modules/getAsllmodules >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 17:18:53 error: [POST] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 17:18:53 error: [GET] /api/users/roles/undefined >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 17:18:53 error: [GET] /api/users/roles/undefined >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 17:18:53 error: [GET] /api/users/roles/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 17:18:53 error: [GET] /api/ussser/roles/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 18:18:28 error: [POST] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 18:18:28 error: [GET] /api/users/roles/undefined >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
